postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,age,weekends,profitable
870,2,Renewals,111.7,0,111.7,,4,1
870,2,Acq,110,0,110,,4,1
870,2,Acq,104,0,104,52,4,1
870,2,Acq,104,0,104,,4,1
870,2,Acq,0,100,100,85,4,1
870,2,Acq,0,100,100,59,4,1
870,2,Acq,98,0,98,56,4,1
870,2,Renewals,93.35,0,93.35,,4,1
870,1,Acq,91.65,0,91.65,,4,1
870,2,Renewals,67.4,20,87.4,,4,1
870,2,Acq,87,0,87,61,4,1
870,2,Renewals,70,0,70,53,4,0
870,2,Acq,61,0,61,70,4,0
870,2,Acq,55,0,55,64,4,0
870,2,Acq,50,0,50,70,4,0
870,2,Acq,0,50,50,,4,0
870,2,Renewals,50,0,50,,4,0
870,2,Renewals,50,0,50,,4,0
870,2,Acq,47,0,47,59,4,0
870,2,Acq,45,0,45,46,4,0
870,2,Acq,41,0,41,57,4,0
870,2,Acq,25,0,25,,4,0
870,2,Acq,0,20,20,67,4,0
870,3,Acq,20,0,20,,4,0
871,4,Acq,245,0,245,65,4,1
871,4,Acq,125,0,125,,4,1
871,2,Acq,119,0,119,56,4,1
871,2,Acq,109.15,0,109.15,47,4,1
871,2,Renewals,107.8,0,107.8,,4,1
871,2,Renewals,50,0,50,,4,0
871,2,Acq,47,0,47,,4,0
871,2,Renewals,30,0,30,,4,0
880,2,Acq,0,100,100,59,4,1
880,2,Acq,75,0,75,,4,0
880,2,Acq,50,0,50,38,4,0
881,3,Renewals,337.75,2.25,340,79,4,1
881,12,Renewals,309.4,10.6,320,79,4,1
881,4,Renewals,310.9,9.1,320,79,4,1
881,5,Renewals,194,6,200,79,4,1
881,2,Acq,115,0,115,68,4,1
881,2,Renewals,100,0,100,,4,1
1350,3,Renewals,90,60,150,,4,1
1360,2,Acq,330,0,330,,4,1
1460,1,Renewals,150,0,150,70,4,1
1499,1,Renewals,42,0,42,46,4,0
1565,1,Acq,504,0,504,60,4,1
1565,9,Acq,10,100,110,61,4,1
1570,1,Renewals,100,0,100,69,4,1
1671,1,Renewals,255,0,255,,4,1
1675,1,Renewals,70,0,70,78,4,0
1675,1,Renewals,49,0,49,86,4,0
1680,1,Renewals,50,0,50,,4,0
1710,1,Acq,125,0,125,,4,1
1755,1,Renewals,268,0,268,65,4,1
1755,1,Acq,116,0,116,77,4,1
1755,1,Renewals,95,0,95,,4,1
1765,10,Acq,74,0,74,,4,0
1765,1,Renewals,50,0,50,,4,0
1790,9,Acq,149,0,149,64,4,1
1805,9,Acq,30,0,30,,4,0
1848,1,Renewals,43,0,43,31,4,0
2000,1,Acq,1031.5,0,1031.5,54,4,1
2000,9,Acq,0,150,150,,4,1
2000,1,Acq,100,0,100,,4,1
2000,1,Acq,85,0,85,80,4,1
2007,1,Acq,192,0,192,66,4,1
2007,1,Acq,92,0,92,,4,1
2007,1,Acq,17,0,17,,4,0
2008,9,Acq,88,0,88,,4,1
2008,1,Acq,60,0,60,45,4,0
2008,1,Renewals,46,0,46,,4,0
2009,1,Acq,181.75,0,181.75,,4,1
2009,9,Acq,160,0,160,,4,1
2009,1,Acq,104,0,104,,4,1
2009,1,Acq,39,0,39,,4,0
2010,9,Acq,127,0,127,46,4,1
2010,1,Acq,110.75,0,110.75,,4,1
2010,1,Renewals,110,0,110,,4,1
2010,1,Acq,0,100,100,,4,1
2010,1,Acq,100,0,100,50,4,1
2010,1,Acq,25,50,75,57,4,0
2010,1,Acq,52.5,0,52.5,,4,0
2010,1,Renewals,40,0,40,,4,0
2010,1,Acq,25,0,25,36,4,0
2010,1,Acq,0,20,20,,4,0
2010,1,Acq,15,0,15,,4,0
2011,1,Acq,150,0,150,,4,1
2011,1,Renewals,95,0,95,60,4,1
2011,9,Acq,78,0,78,,4,1
2011,1,Acq,75,0,75,,4,0
2015,1,Renewals,263,0,263,62,4,1
2015,1,Acq,172,0,172,76,4,1
2015,1,Acq,154,0,154,,4,1
2015,1,Acq,85.35,0,85.35,,4,1
2015,1,Renewals,80,0,80,,4,1
2015,1,Acq,50,0,50,64,4,0
2016,1,Renewals,149.35,0,149.35,,4,1
2016,9,Acq,93.4,0,93.4,,4,1
2016,1,Renewals,75,0,75,,4,0
2016,9,Acq,66,0,66,,4,0
2016,1,Renewals,45,0,45,72,4,0
2016,9,Acq,34.5,0,34.5,71,4,0
2017,2,Renewals,304,0,304,71,4,1
2017,9,Acq,150,0,150,69,4,1
2017,1,Renewals,62,0,62,28,4,0
2017,9,Acq,50,0,50,35,4,0
2017,9,Acq,31.1,0,31.1,54,4,0
2017,9,Acq,30,0,30,81,4,0
2018,1,Renewals,159,0,159,,4,1
2018,1,Renewals,124,0,124,69,4,1
2018,1,Acq,85,0,85,61,4,1
2018,9,Acq,74,0,74,,4,0
2018,1,Acq,51,0,51,60,4,0
2018,1,Acq,22,28,50,,4,0
2018,1,Renewals,50,0,50,76,4,0
2018,1,Acq,27,0,27,95,4,0
2018,1,Renewals,25,0,25,,4,0
2018,9,Acq,0,20,20,68,4,0
2018,1,Acq,20,0,20,,4,0
2018,1,Acq,20,0,20,,4,0
2019,1,Acq,268,0,268,,4,1
2019,1,Acq,108,0,108,,4,1
2019,1,Acq,100,0,100,,4,1
2019,1,Renewals,57.5,0,57.5,57,4,0
2019,1,Renewals,55,0,55,43,4,0
2020,1,Acq,192,0,192,49,4,1
2020,1,Renewals,125,0,125,,4,1
2020,1,Renewals,108.75,0,108.75,,4,1
2020,9,Acq,0,100,100,60,4,1
2020,9,Acq,89,0,89,54,4,1
2020,1,Renewals,86,0,86,58,4,1
2020,1,Renewals,69,0,69,,4,0
2020,9,Acq,60,0,60,70,4,0
2020,1,Acq,50,0,50,,4,0
2020,1,Acq,49,0,49,,4,0
2020,1,Acq,0,41.75,41.75,,4,0
2020,9,Acq,20,0,20,,4,0
2020,1,Acq,12,0,12,41,4,0
2021,1,Acq,390,0,390,69,4,1
2021,1,Renewals,260,100,360,,4,1
2021,1,Renewals,260,0,260,61,4,1
2021,1,Renewals,250,0,250,,4,1
2021,1,Renewals,225,0,225,56,4,1
2021,9,Acq,215,0,215,,4,1
2021,1,Acq,97,103,200,,4,1
2021,9,Acq,0,200,200,,4,1
2021,9,Acq,170,0,170,,4,1
2021,1,Acq,150.3,0,150.3,,4,1
2021,1,Renewals,140,0,140,66,4,1
2021,1,Acq,130,0,130,60,4,1
2021,1,Renewals,125,0,125,,4,1
2021,1,Acq,120,0,120,,4,1
2021,1,Renewals,119,0,119,,4,1
2021,1,Renewals,110,0,110,,4,1
2021,1,Acq,100,0,100,69,4,1
2021,1,Renewals,85,0,85,70,4,1
2021,9,Acq,80,0,80,,4,1
2021,1,Renewals,65,0,65,64,4,0
2021,1,Renewals,61,0,61,66,4,0
2021,9,Acq,0,50,50,,4,0
2021,1,Acq,0,50,50,16,4,0
2021,1,Renewals,35,5,40,,4,0
2021,1,Acq,0,20,20,63,4,0
2022,1,Acq,385,0,385,,4,1
2022,1,Renewals,192.3,0,192.3,77,4,1
2022,1,Acq,156,0,156,69,4,1
2022,1,Acq,150,0,150,,4,1
2022,9,Acq,116,0,116,,4,1
2022,9,Acq,102,10,112,72,4,1
2022,1,Renewals,110,0,110,73,4,1
2022,1,Acq,100,0,100,82,4,1
2022,1,Renewals,95.1,0,95.1,48,4,1
2022,9,Acq,95,0,95,,4,1
2022,1,Acq,82.5,0,82.5,71,4,1
2022,1,Acq,16,50,66,83,4,0
2022,1,Acq,32,0,32,,4,0
2022,1,Acq,0,10,10,,4,0
2023,1,Acq,0,1000,1000,,4,1
