postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
4170,42,3.19,0.71,2944.20,110.00,3054.20,70.10,2.62,72.72,58.92,2,0.24,42
4171,23,3.00,0.52,2209.95,72.00,2281.95,96.08,3.13,99.22,63.77,2,0.57,23
4172,14,2.93,0.79,516.55,60.00,576.55,36.90,4.29,41.18,59.82,2,0.14,14
4173,31,3.16,0.61,2789.90,30.50,2820.40,90.00,0.98,90.98,58.00,2,0.39,31
4174,4,3.00,0.75,196.25,0.00,196.25,49.06,0.00,49.06,60.00,2,0.00,4
4178,51,2.96,0.59,3458.70,34.50,3493.20,67.82,0.68,68.49,63.94,2,0.33,51
4179,43,2.95,0.67,3344.30,150.00,3494.30,77.77,3.49,81.26,64.32,2,0.37,43
4183,12,3.25,0.58,679.75,0.00,679.75,56.65,0.00,56.65,58.20,2,0.25,12
4184,39,3.51,0.77,2360.95,140.00,2500.95,60.54,3.59,64.13,62.61,2,0.23,39
4205,10,3.40,0.40,582.95,0.00,582.95,58.30,0.00,58.30,65.86,2,0.30,10
4207,71,3.11,0.65,4127.80,20.00,4147.80,58.14,0.28,58.42,60.69,2,0.27,71
4208,26,3.00,0.73,1535.65,70.00,1605.65,59.06,2.69,61.76,53.67,2,0.35,26
4209,46,3.02,0.76,2512.80,55.00,2567.80,54.63,1.20,55.82,56.21,2,0.15,46
4210,42,3.24,0.86,2345.95,65.00,2410.95,55.86,1.55,57.40,63.34,2,0.24,42
4211,111,3.13,0.70,7017.00,188.20,7205.20,63.22,1.70,64.91,57.95,2,0.30,111
4212,41,2.85,0.66,2691.80,175.00,2866.80,65.65,4.27,69.92,58.94,2,0.39,41
4213,55,3.38,0.60,3018.30,109.00,3127.30,54.88,1.98,56.86,58.06,2,0.31,55
4214,72,3.00,0.54,3998.05,150.00,4148.05,55.53,2.08,57.61,58.75,2,0.19,72
4215,57,2.93,0.74,3508.15,210.00,3718.15,61.55,3.68,65.23,67.44,2,0.28,57
4216,82,2.80,0.60,5201.55,272.45,5474.00,63.43,3.32,66.76,65.17,2,0.34,82
4217,43,3.02,0.53,3619.15,111.00,3730.15,84.17,2.58,86.75,62.34,2,0.28,43
4218,49,3.02,0.61,3209.05,100.00,3309.05,65.49,2.04,67.53,60.82,2,0.24,49
4219,1,3.00,1.00,140.00,0.00,140.00,140.00,0.00,140.00,,2,1.00,1
4220,76,2.84,0.71,4609.80,100.50,4710.30,60.66,1.32,61.98,59.96,2,0.22,76
4221,66,2.94,0.67,4235.65,100.00,4335.65,64.18,1.52,65.69,64.66,2,0.33,66
4223,40,2.88,0.60,2460.25,205.00,2665.25,61.51,5.13,66.63,63.86,2,0.30,40
4224,16,2.88,0.81,991.55,5.00,996.55,61.97,0.31,62.28,60.33,2,0.31,16
4225,12,2.92,0.50,688.20,20.00,708.20,57.35,1.67,59.02,74.20,2,0.17,12
4226,69,3.00,0.74,5518.75,82.00,5600.75,79.98,1.19,81.17,60.47,2,0.29,69
4227,30,3.03,0.80,1510.95,30.00,1540.95,50.37,1.00,51.37,58.59,2,0.17,30
4228,10,3.10,0.80,795.70,0.00,795.70,79.57,0.00,79.57,56.43,2,0.40,10
4230,1,4.00,0.00,123.50,0.00,123.50,123.50,0.00,123.50,,2,1.00,1
4270,8,3.38,0.50,893.55,0.00,893.55,111.69,0.00,111.69,65.25,2,0.63,8
4271,6,3.67,0.50,457.05,5.00,462.05,76.18,0.83,77.01,74.00,2,0.17,6
4272,15,3.13,0.47,1121.95,70.00,1191.95,74.80,4.67,79.46,65.80,2,0.40,15
4275,6,3.67,0.83,415.05,10.00,425.05,69.18,1.67,70.84,53.50,2,0.50,6
4280,18,2.83,0.89,846.50,88.80,935.30,47.03,4.93,51.96,47.82,2,0.28,18
4285,38,3.16,0.63,2441.00,20.00,2461.00,64.24,0.53,64.76,59.48,2,0.24,38
4300,73,2.99,0.59,3796.60,234.00,4030.60,52.01,3.21,55.21,54.44,2,0.21,73
4301,18,3.28,0.72,1117.75,10.00,1127.75,62.10,0.56,62.65,60.60,2,0.22,18
4303,5,2.60,0.60,534.00,0.00,534.00,106.80,0.00,106.80,74.33,2,0.40,5
4304,22,2.95,0.68,1216.80,20.00,1236.80,55.31,0.91,56.22,60.56,2,0.27,22
4305,137,3.14,0.62,7271.95,333.00,7604.95,53.08,2.43,55.51,61.99,2,0.27,137
4306,76,3.16,0.67,5091.10,141.50,5232.60,66.99,1.86,68.85,55.33,2,0.41,76
4309,2,4.00,1.00,208.70,0.00,208.70,104.35,0.00,104.35,69.50,2,1.00,2
4310,13,3.62,0.77,981.30,0.00,981.30,75.48,0.00,75.48,63.40,2,0.38,13
4311,11,3.45,0.73,425.15,14.00,439.15,38.65,1.27,39.92,55.86,2,0.09,11
4312,8,2.75,0.63,600.70,50.00,650.70,75.09,6.25,81.34,70.25,2,0.50,8
4313,1,3.00,0.00,30.00,0.00,30.00,30.00,0.00,30.00,81.00,2,0.00,1
4340,6,3.00,0.83,302.70,0.00,302.70,50.45,0.00,50.45,69.00,2,0.17,6
4341,26,3.15,0.69,1570.25,180.00,1750.25,60.39,6.92,67.32,58.88,2,0.31,26
4342,10,3.40,0.80,546.50,5.00,551.50,54.65,0.50,55.15,60.33,2,0.30,10
4343,24,3.29,0.71,1463.60,15.00,1478.60,60.98,0.63,61.61,62.89,2,0.25,24
4346,5,3.40,1.00,445.05,4.00,449.05,89.01,0.80,89.81,49.25,2,0.60,5
4350,340,3.10,0.67,23270.95,1249.60,24520.55,68.44,3.68,72.12,62.20,2,0.30,340
4352,83,3.04,0.75,5213.55,207.50,5421.05,62.81,2.50,65.31,55.98,2,0.29,83
4354,3,3.00,1.00,104.80,0.00,104.80,34.93,0.00,34.93,57.00,2,0.00,3
