postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
4700,60,3.05,0.67,4064.75,245.00,4309.75,67.75,4.08,71.83,56.40,2,0.38,60
4701,168,3.07,0.63,11115.50,255.00,11370.50,66.16,1.52,67.68,57.28,2,0.33,168
4702,35,3.06,0.57,2608.80,30.00,2638.80,74.54,0.86,75.39,60.50,2,0.31,35
4703,82,3.11,0.76,5273.80,120.00,5393.80,64.31,1.46,65.78,64.08,2,0.34,82
4709,3,3.00,0.67,227.00,0.00,227.00,75.67,0.00,75.67,34.00,2,0.67,3
4710,19,3.05,0.74,1204.50,246.00,1450.50,63.39,12.95,76.34,63.77,2,0.32,19
4711,5,2.60,1.00,253.00,0.00,253.00,50.60,0.00,50.60,57.75,2,0.00,5
4714,7,3.29,0.71,260.35,50.00,310.35,37.19,7.14,44.34,57.00,2,0.00,7
4715,10,2.60,0.90,836.05,0.00,836.05,83.61,0.00,83.61,58.67,2,0.50,10
4717,11,3.36,0.73,752.45,200.00,952.45,68.40,18.18,86.59,49.78,2,0.55,11
4718,4,3.00,0.75,161.80,0.00,161.80,40.45,0.00,40.45,60.00,2,0.00,4
4719,2,2.50,0.00,207.50,0.00,207.50,103.75,0.00,103.75,38.00,2,1.00,2
4720,36,2.97,0.67,2755.90,0.00,2755.90,76.55,0.00,76.55,54.08,2,0.36,36
4721,9,2.67,0.89,754.15,0.00,754.15,83.79,0.00,83.79,53.00,2,0.44,9
4722,3,4.33,0.67,290.20,0.00,290.20,96.73,0.00,96.73,65.33,2,1.00,3
4723,3,3.33,1.00,190.00,0.00,190.00,63.33,0.00,63.33,49.67,2,0.33,3
4725,2,3.50,0.50,58.00,20.00,78.00,29.00,10.00,39.00,52.00,2,0.00,2
4730,6,3.00,0.83,340.95,0.00,340.95,56.83,0.00,56.83,50.00,2,0.17,6
4735,4,2.75,0.25,254.25,25.00,279.25,63.56,6.25,69.81,70.33,2,0.50,4
4737,11,2.82,0.55,745.90,10.00,755.90,67.81,0.91,68.72,66.33,2,0.36,11
4740,237,3.11,0.63,19578.60,353.35,19931.95,82.61,1.49,84.10,58.17,2,0.38,237
4741,8,3.63,0.63,510.50,40.00,550.50,63.81,5.00,68.81,60.00,2,0.38,8
4742,1,4.00,1.00,177.00,0.00,177.00,177.00,0.00,177.00,51.00,2,1.00,1
4744,6,2.83,0.83,354.15,10.00,364.15,59.03,1.67,60.69,44.25,2,0.33,6
4745,2,3.00,0.50,100.00,0.00,100.00,50.00,0.00,50.00,56.00,2,0.00,2
4746,3,3.33,0.67,97.00,75.00,172.00,32.33,25.00,57.33,55.00,2,0.00,3
4750,14,3.50,0.71,966.65,12.50,979.15,69.05,0.89,69.94,60.33,2,0.29,14
4751,16,3.25,0.63,1095.50,65.00,1160.50,68.47,4.06,72.53,58.67,2,0.38,16
4753,7,3.29,0.71,401.55,10.00,411.55,57.36,1.43,58.79,60.00,2,0.29,7
4754,5,3.00,0.80,265.05,10.00,275.05,53.01,2.00,55.01,73.00,2,0.40,5
4756,1,3.00,0.00,130.75,0.00,130.75,130.75,0.00,130.75,,2,1.00,1
4799,3,3.33,0.67,226.00,0.00,226.00,75.33,0.00,75.33,71.50,2,0.67,3
4800,28,2.86,0.68,1954.05,30.00,1984.05,69.79,1.07,70.86,59.25,2,0.43,28
4802,19,3.00,0.84,1137.75,29.00,1166.75,59.88,1.53,61.41,56.33,2,0.32,19
4804,3,3.67,1.00,168.00,0.00,168.00,56.00,0.00,56.00,46.00,2,0.33,3
4805,25,3.16,0.68,1403.55,100.00,1503.55,56.14,4.00,60.14,59.19,2,0.20,25
4806,21,3.19,0.76,1385.05,20.00,1405.05,65.95,0.95,66.91,59.88,2,0.29,21
4807,42,3.10,0.57,3068.00,25.00,3093.00,73.05,0.60,73.64,61.94,2,0.45,42
4808,6,3.33,0.67,364.85,0.00,364.85,60.81,0.00,60.81,61.40,2,0.33,6
4810,31,2.84,0.68,2021.65,145.00,2166.65,65.21,4.68,69.89,63.55,2,0.42,31
4811,25,3.04,0.84,1443.10,0.00,1443.10,57.72,0.00,57.72,53.29,2,0.24,25
4812,41,3.00,0.66,2356.45,167.00,2523.45,57.47,4.07,61.55,62.00,2,0.29,41
4814,114,3.11,0.61,8227.90,210.00,8437.90,72.17,1.84,74.02,59.09,2,0.38,114
4815,50,2.94,0.84,2422.30,12.00,2434.30,48.45,0.24,48.69,57.19,2,0.26,50
4816,13,2.69,0.62,694.90,10.00,704.90,53.45,0.77,54.22,63.25,2,0.08,13
4817,95,3.00,0.63,7179.35,79.00,7258.35,75.57,0.83,76.40,57.64,2,0.37,95
4818,42,2.76,0.81,2600.63,181.80,2782.43,61.92,4.33,66.25,50.44,2,0.31,42
4819,12,3.08,0.50,851.60,0.00,851.60,70.97,0.00,70.97,67.22,2,0.42,12
4820,18,3.33,0.67,1573.35,165.00,1738.35,87.41,9.17,96.58,57.36,2,0.39,18
4821,2,3.50,0.50,78.00,0.00,78.00,39.00,0.00,39.00,57.00,2,0.00,2
4822,2,3.00,1.00,51.00,0.00,51.00,25.50,0.00,25.50,54.50,2,0.00,2
4824,2,3.00,0.50,24.00,0.00,24.00,12.00,0.00,12.00,57.50,2,0.00,2
4825,23,2.83,0.87,1378.95,0.00,1378.95,59.95,0.00,59.95,55.11,2,0.30,23
4849,3,4.00,0.67,353.50,0.00,353.50,117.83,0.00,117.83,69.00,2,0.67,3
4850,45,3.27,0.49,3647.05,140.00,3787.05,81.05,3.11,84.16,60.28,2,0.42,45
4852,15,3.07,0.73,1080.35,0.00,1080.35,72.02,0.00,72.02,56.00,2,0.47,15
4854,25,3.00,0.84,1910.20,0.00,1910.20,76.41,0.00,76.41,62.35,2,0.48,25
4855,3,3.67,0.00,245.00,0.00,245.00,81.67,0.00,81.67,48.50,2,0.33,3
4856,2,2.00,0.50,35.00,5.00,40.00,17.50,2.50,20.00,55.50,2,0.00,2
4858,5,2.80,1.00,324.10,0.00,324.10,64.82,0.00,64.82,52.75,2,0.40,5
4859,3,3.00,0.67,155.00,0.00,155.00,51.67,0.00,51.67,48.50,2,0.33,3
4860,51,3.04,0.55,3587.90,0.00,3587.90,70.35,0.00,70.35,62.14,2,0.31,51
4861,7,3.00,0.86,411.60,20.00,431.60,58.80,2.86,61.66,56.43,2,0.29,7
4865,17,3.18,0.71,893.50,20.00,913.50,52.56,1.18,53.74,56.42,2,0.24,17
4868,64,3.11,0.59,4330.15,54.00,4384.15,67.66,0.84,68.50,54.55,2,0.28,64
4869,36,3.03,0.56,2113.80,57.00,2170.80,58.72,1.58,60.30,51.63,2,0.25,36
4870,175,3.09,0.68,12461.15,280.00,12741.15,71.21,1.60,72.81,55.52,2,0.37,175
4871,13,2.92,0.62,781.70,20.00,801.70,60.13,1.54,61.67,58.55,2,0.38,13
4872,1,3.00,0.00,101.00,0.00,101.00,101.00,0.00,101.00,,2,1.00,1
4873,15,3.27,0.47,1252.05,0.00,1252.05,83.47,0.00,83.47,57.55,2,0.33,15
4874,5,3.00,1.00,538.10,150.00,688.10,107.62,30.00,137.62,53.75,2,0.60,5
4877,11,3.00,0.73,845.25,10.00,855.25,76.84,0.91,77.75,56.57,2,0.45,11
4878,47,3.06,0.55,2997.20,80.00,3077.20,63.77,1.70,65.47,57.78,2,0.32,47
4879,37,2.92,0.70,2445.00,25.00,2470.00,66.08,0.68,66.76,56.55,2,0.32,37
4880,26,3.08,0.65,2292.80,55.00,2347.80,88.18,2.12,90.30,63.16,2,0.54,26
4881,7,2.86,0.86,438.00,0.00,438.00,62.57,0.00,62.57,54.25,2,0.43,7
4882,13,2.92,0.69,1032.70,100.00,1132.70,79.44,7.69,87.13,67.67,2,0.54,13
4883,28,3.04,0.64,2873.65,10.00,2883.65,102.63,0.36,102.99,62.50,2,0.46,28
4884,5,3.20,0.80,177.00,50.00,227.00,35.40,10.00,45.40,76.25,2,0.00,5
4885,5,3.20,1.00,279.25,20.00,299.25,55.85,4.00,59.85,61.67,2,0.40,5
4887,1,3.00,1.00,71.00,0.00,71.00,71.00,0.00,71.00,55.00,2,0.00,1
4888,7,3.43,0.86,557.90,10.00,567.90,79.70,1.43,81.13,59.20,2,0.43,7
4895,3,3.00,1.00,144.50,30.00,174.50,48.17,10.00,58.17,54.00,2,0.33,3
5000,17,6.82,0.41,2253.55,570.00,2823.55,132.56,33.53,166.09,66.20,4,0.47,17
5006,19,7.42,0.74,1301.05,419.00,1720.05,68.48,22.05,90.53,67.67,4,0.47,19
5007,15,7.13,0.80,839.50,0.00,839.50,55.97,0.00,55.97,61.64,4,0.27,15
5008,22,6.73,0.41,1219.85,80.00,1299.85,55.45,3.64,59.08,60.00,4,0.32,22
5009,15,6.40,0.40,795.00,20.00,815.00,53.00,1.33,54.33,55.29,4,0.20,15
5010,11,9.45,0.45,1055.85,14.00,1069.85,95.99,1.27,97.26,58.67,4,0.64,11
5011,26,6.58,0.62,1929.65,110.00,2039.65,74.22,4.23,78.45,60.29,4,0.50,26
5012,7,7.29,0.14,475.30,3.00,478.30,67.90,0.43,68.33,72.75,4,0.43,7
5013,16,7.19,0.50,810.75,40.00,850.75,50.67,2.50,53.17,58.88,4,0.19,16
5014,24,6.88,0.38,1014.90,115.50,1130.40,42.29,4.81,47.10,62.38,4,0.13,24
5015,12,6.58,0.83,442.90,100.00,542.90,36.91,8.33,45.24,59.44,4,0.08,12
5016,17,7.06,0.76,919.20,50.00,969.20,54.07,2.94,57.01,62.78,4,0.24,17
5017,12,7.17,0.50,663.60,5.00,668.60,55.30,0.42,55.72,66.78,4,0.33,12
5018,19,6.63,0.63,937.00,70.00,1007.00,49.32,3.68,53.00,67.88,4,0.21,19
5019,27,7.22,0.48,1940.20,70.00,2010.20,71.86,2.59,74.45,72.00,4,0.41,27
5020,21,6.67,0.33,2730.40,260.00,2990.40,130.02,12.38,142.40,66.18,4,0.43,21
5021,44,6.82,0.59,3784.75,163.00,3947.75,86.02,3.70,89.72,67.78,4,0.66,44
5022,49,7.00,0.55,3264.85,165.00,3429.85,66.63,3.37,70.00,66.71,4,0.27,49
5023,35,7.29,0.49,1943.60,58.20,2001.80,55.53,1.66,57.19,66.59,4,0.29,35
5024,66,7.32,0.48,4457.35,278.00,4735.35,67.54,4.21,71.75,68.26,4,0.36,66
5025,33,6.73,0.45,2536.80,134.00,2670.80,76.87,4.06,80.93,62.33,4,0.42,33
5031,19,7.26,0.42,1257.20,80.00,1337.20,66.17,4.21,70.38,67.78,4,0.47,19
5032,33,6.82,0.39,2563.00,54.55,2617.55,77.67,1.65,79.32,63.27,4,0.33,33
5033,19,7.11,0.58,1233.00,0.00,1233.00,64.89,0.00,64.89,64.30,4,0.26,19
5034,29,7.24,0.31,2543.60,125.00,2668.60,87.71,4.31,92.02,60.53,4,0.48,29
5035,18,6.72,0.61,1156.50,175.00,1331.50,64.25,9.72,73.97,60.55,4,0.33,18
5037,35,7.17,0.57,2145.15,105.00,2250.15,61.29,3.00,64.29,67.67,4,0.29,35
5038,45,6.91,0.40,2767.00,39.25,2806.25,61.49,0.87,62.36,60.39,4,0.31,45
5039,26,7.12,0.54,1404.90,135.00,1539.90,54.03,5.19,59.23,69.85,4,0.31,26
5040,17,7.12,0.47,1519.15,0.00,1519.15,89.36,0.00,89.36,70.21,4,0.65,17
5041,59,6.93,0.42,4952.65,158.95,5111.60,83.94,2.69,86.64,66.18,4,0.49,59
5042,41,6.93,0.54,2716.70,140.00,2856.70,66.26,3.41,69.68,63.77,4,0.29,41
5043,75,7.08,0.44,5009.90,18.00,5027.90,66.80,0.24,67.04,67.96,4,0.41,75
5044,50,7.02,0.50,2843.60,100.00,2943.60,56.87,2.00,58.87,66.84,4,0.22,50
5045,50,6.98,0.56,3400.15,54.10,3454.25,68.00,1.08,69.09,69.79,4,0.36,50
5046,40,6.58,0.55,2587.40,260.00,2847.40,64.69,6.50,71.19,66.11,4,0.40,40
5047,25,7.36,0.52,1663.65,4.00,1667.65,66.55,0.16,66.71,67.92,4,0.36,25
5048,73,6.85,0.49,5308.65,230.40,5539.05,72.72,3.16,75.88,67.42,4,0.38,73
5049,62,6.52,0.56,3819.25,467.55,4286.80,61.60,7.54,69.14,65.98,4,0.34,62
5050,35,6.77,0.51,2877.00,26.30,2903.30,82.20,0.75,82.95,60.27,4,0.43,35
5051,83,7.13,0.61,6621.45,552.00,7173.45,79.78,6.65,86.43,64.92,4,0.53,83
5052,39,6.67,0.54,2927.75,132.00,3059.75,75.07,3.38,78.46,62.16,4,0.49,39
5061,47,6.72,0.55,3435.45,400.85,3836.30,73.09,8.53,81.62,65.97,4,0.43,47
5062,75,6.76,0.49,5429.05,820.00,6249.05,72.39,10.93,83.32,61.87,4,0.47,75
5063,48,6.98,0.42,3519.90,185.00,3704.90,73.33,3.85,77.19,61.70,4,0.35,48
5064,51,6.69,0.43,4078.40,52.00,4130.40,79.97,1.02,80.99,61.77,4,0.39,51
5065,47,6.94,0.43,3484.05,240.00,3724.05,74.13,5.11,79.24,61.72,4,0.49,47
5066,45,7.09,0.60,4769.20,147.00,4916.20,105.98,3.27,109.25,63.08,4,0.49,45
5067,29,7.10,0.48,1751.90,145.00,1896.90,60.41,5.00,65.41,64.79,4,0.31,29
5068,52,6.65,0.56,3275.90,338.75,3614.65,63.00,6.51,69.51,62.83,4,0.33,52
5069,40,6.88,0.50,3238.45,53.00,3291.45,80.96,1.33,82.29,63.12,4,0.43,40
5070,58,7.03,0.64,5144.40,182.00,5326.40,88.70,3.14,91.83,66.06,4,0.41,58
5071,4,7.50,0.50,298.00,0.00,298.00,74.50,0.00,74.50,67.00,4,0.50,4
5072,59,7.02,0.47,4784.16,120.50,4904.66,81.09,2.04,83.13,64.49,4,0.44,59
5073,47,6.47,0.60,3954.25,194.60,4148.85,84.13,4.14,88.27,66.80,4,0.40,47
5074,52,7.21,0.40,3671.75,230.00,3901.75,70.61,4.42,75.03,68.58,4,0.42,52
5075,52,7.12,0.58,3851.80,108.90,3960.70,74.07,2.09,76.17,67.24,4,0.37,52
5076,38,7.37,0.45,2447.20,135.00,2582.20,64.40,3.55,67.95,55.46,4,0.39,38
5081,46,6.91,0.59,4695.35,175.00,4870.35,102.07,3.80,105.88,68.38,4,0.48,46
5082,37,6.70,0.62,2625.10,75.00,2700.10,70.95,2.03,72.98,60.32,4,0.41,37
5083,27,6.93,0.44,1807.30,59.00,1866.30,66.94,2.19,69.12,60.06,4,0.33,27
5084,10,7.20,0.10,458.05,40.00,498.05,45.81,4.00,49.81,75.50,4,0.20,10
5085,34,7.15,0.68,1607.90,280.00,1887.90,47.29,8.24,55.53,60.61,4,0.24,34
5086,41,7.17,0.56,2202.90,203.00,2405.90,53.73,4.95,58.68,62.38,4,0.29,41
5087,30,7.20,0.47,1683.40,260.00,1943.40,56.11,8.67,64.78,64.86,4,0.27,30
5088,7,6.43,0.14,368.00,0.00,368.00,52.57,0.00,52.57,59.33,4,0.29,7
5089,28,7.21,0.36,2027.00,240.00,2267.00,72.39,8.57,80.96,56.82,4,0.46,28
5090,28,6.50,0.46,1923.25,42.40,1965.65,68.69,1.51,70.20,62.00,4,0.39,28
5091,40,7.25,0.50,2333.00,91.00,2424.00,58.33,2.28,60.60,57.00,4,0.23,40
5092,76,7.28,0.57,4387.15,221.25,4608.40,57.73,2.91,60.64,62.82,4,0.25,76
5093,34,7.24,0.41,2360.60,150.00,2510.60,69.43,4.41,73.84,65.29,4,0.41,34
5094,5,7.20,0.40,368.20,0.00,368.20,73.64,0.00,73.64,71.00,4,0.40,5
5095,37,7.27,0.46,2310.95,10.00,2320.95,62.46,0.27,62.73,61.89,4,0.30,37
5096,36,7.31,0.61,2143.25,40.00,2183.25,59.53,1.11,60.65,61.13,4,0.28,36
5097,42,6.86,0.48,2179.85,70.00,2249.85,51.90,1.67,53.57,61.96,4,0.19,42
5098,29,7.24,0.52,1804.75,66.25,1871.00,62.23,2.28,64.52,60.28,4,0.17,29
5106,2,8.00,1.00,140.00,0.00,140.00,70.00,0.00,70.00,68.00,4,0.50,2
5107,16,7.25,0.50,822.80,50.00,872.80,51.43,3.13,54.55,60.70,4,0.19,16
5108,68,7.35,0.56,3332.05,77.00,3409.05,49.00,1.13,50.13,63.15,4,0.21,68
5109,48,7.60,0.52,2748.15,115.00,2863.15,57.25,2.40,59.65,62.12,4,0.25,48
5110,9,7.67,0.56,614.60,0.00,614.60,68.29,0.00,68.29,55.67,4,0.33,9
5112,46,6.91,0.39,2888.90,100.00,2988.90,62.80,2.17,64.98,64.45,4,0.22,46
5113,30,6.80,0.67,1404.50,35.00,1439.50,46.82,1.17,47.98,62.42,4,0.17,30
5114,34,7.26,0.62,2033.50,50.00,2083.50,59.81,1.47,61.28,59.64,4,0.15,34
5115,4,7.25,1.00,88.15,0.00,88.15,22.04,0.00,22.04,56.25,4,0.00,4
5116,26,7.12,0.54,1520.65,0.00,1520.65,58.49,0.00,58.49,64.67,4,0.27,26
5117,4,7.50,0.25,318.80,20.00,338.80,79.70,5.00,84.70,41.00,4,0.50,4
5118,64,6.81,0.55,4372.25,95.90,4468.15,68.32,1.50,69.81,67.98,4,0.30,64
5120,1,7.00,1.00,202.00,0.00,202.00,202.00,0.00,202.00,71.00,4,1.00,1
5125,72,7.32,0.58,3580.00,227.00,3807.00,49.72,3.15,52.88,59.64,4,0.22,72
5126,24,7.50,0.58,1435.80,50.00,1485.80,59.83,2.08,61.91,62.75,4,0.29,24
5127,35,7.31,0.60,1913.45,79.00,1992.45,54.67,2.26,56.93,60.64,4,0.23,35
5131,3,7.00,0.67,230.00,100.00,330.00,76.67,33.33,110.00,65.00,4,1.00,3
5132,1,8.00,1.00,221.05,0.00,221.05,221.05,0.00,221.05,,4,1.00,1
5136,1,8.00,1.00,50.00,0.00,50.00,50.00,0.00,50.00,,4,0.00,1
5142,4,7.00,0.75,641.00,0.00,641.00,160.25,0.00,160.25,67.25,4,1.00,4
5151,1,7.00,0.00,247.60,0.00,247.60,247.60,0.00,247.60,72.00,4,1.00,1
5152,31,6.65,0.61,2340.20,144.00,2484.20,75.49,4.65,80.14,64.38,4,0.52,31
5153,13,7.54,0.54,984.80,180.00,1164.80,75.75,13.85,89.60,66.00,4,0.54,13
5154,20,7.35,0.55,1439.20,278.00,1717.20,71.96,13.90,85.86,58.75,4,0.45,20
5155,13,7.31,0.62,1219.10,0.00,1219.10,93.78,0.00,93.78,64.00,4,0.62,13
5156,8,6.63,0.50,728.35,10.00,738.35,91.04,1.25,92.29,61.38,4,0.63,8
5157,2,8.00,1.00,172.00,0.00,172.00,86.00,0.00,86.00,64.00,4,0.50,2
5158,72,7.11,0.57,3720.95,256.05,3977.00,51.68,3.56,55.24,60.56,4,0.18,72
5159,133,7.14,0.59,8845.40,446.65,9292.05,66.51,3.36,69.87,63.65,4,0.33,133
5161,33,7.03,0.61,2124.45,55.00,2179.45,64.38,1.67,66.04,69.86,4,0.30,33
5162,114,7.09,0.54,6271.80,485.20,6757.00,55.02,4.26,59.27,64.45,4,0.21,114
5163,26,6.50,0.50,1577.60,47.00,1624.60,60.68,1.81,62.48,59.69,4,0.27,26
5164,12,6.75,0.58,452.40,20.00,472.40,37.70,1.67,39.37,71.17,4,0.08,12
5165,22,6.59,0.55,959.35,60.00,1019.35,43.61,2.73,46.33,66.00,4,0.14,22
5166,12,7.33,0.33,658.60,0.00,658.60,54.88,0.00,54.88,63.71,4,0.25,12
5167,16,6.06,0.75,877.00,70.00,947.00,54.81,4.38,59.19,66.78,4,0.25,16
5168,17,7.18,0.53,819.40,0.00,819.40,48.20,0.00,48.20,61.40,4,0.12,17
5169,33,7.33,0.55,2231.75,0.00,2231.75,67.63,0.00,67.63,66.80,4,0.27,33
5170,2,7.50,1.00,141.00,0.00,141.00,70.50,0.00,70.50,75.00,4,0.50,2
5171,22,6.77,0.45,1749.00,180.00,1929.00,79.50,8.18,87.68,66.00,4,0.50,22
5172,13,7.38,0.77,786.95,160.00,946.95,60.53,12.31,72.84,65.33,4,0.38,13
5173,29,7.24,0.48,1532.75,15.00,1547.75,52.85,0.52,53.37,65.29,4,0.24,29
5174,2,8.00,1.00,94.45,12.55,107.00,47.23,6.28,53.50,52.00,4,0.00,2
5201,6,7.17,0.50,498.65,6.00,504.65,83.11,1.00,84.11,64.50,4,0.67,6
5203,4,6.00,1.00,221.00,0.00,221.00,55.25,0.00,55.25,71.33,4,0.25,4
5204,12,7.75,0.25,1100.45,25.00,1125.45,91.70,2.08,93.79,67.88,4,0.58,12
5211,99,6.94,0.58,6480.00,201.30,6681.30,65.45,2.03,67.49,68.87,4,0.37,99
5212,14,6.86,0.71,683.75,20.00,703.75,48.84,1.43,50.27,72.73,4,0.07,14
5213,7,7.57,1.00,267.00,20.00,287.00,38.14,2.86,41.00,66.80,4,0.14,7
5214,46,6.83,0.61,3133.95,145.00,3278.95,68.13,3.15,71.28,72.13,4,0.28,46
5223,12,6.83,0.58,1097.50,103.00,1200.50,91.46,8.58,100.04,70.67,4,0.42,12
5231,1,8.00,0.00,57.00,0.00,57.00,57.00,0.00,57.00,,4,0.00,1
5232,1,8.00,0.00,184.00,0.00,184.00,184.00,0.00,184.00,75.00,4,1.00,1
5233,3,7.00,0.67,269.60,0.00,269.60,89.87,0.00,89.87,,4,0.67,3
5234,2,7.00,1.00,77.00,50.00,127.00,38.50,25.00,63.50,68.00,4,0.50,2
5235,2,7.00,0.00,46.00,20.00,66.00,23.00,10.00,33.00,73.00,4,0.00,2
5238,14,7.14,0.50,754.75,120.00,874.75,53.91,8.57,62.48,67.67,4,0.29,14
5240,1,9.00,0.00,105.00,0.00,105.00,105.00,0.00,105.00,,4,1.00,1
5241,7,7.43,0.43,481.00,50.00,531.00,68.71,7.14,75.86,59.80,4,0.57,7
5242,9,7.33,0.78,430.85,95.00,525.85,47.87,10.56,58.43,59.00,4,0.33,9
5243,1,8.00,1.00,35.00,10.00,45.00,35.00,10.00,45.00,65.00,4,0.00,1
5244,19,6.89,0.63,1583.70,30.00,1613.70,83.35,1.58,84.93,62.13,4,0.37,19
5245,11,7.18,0.09,1136.15,20.00,1156.15,103.29,1.82,105.10,71.43,4,0.73,11
5250,11,6.64,0.73,584.30,21.00,605.30,53.12,1.91,55.03,56.00,4,0.18,11
5251,42,7.19,0.52,2365.85,99.00,2464.85,56.33,2.36,58.69,62.00,4,0.26,42
5252,12,7.17,0.33,832.10,100.00,932.10,69.34,8.33,77.68,65.75,4,0.42,12
5253,74,6.93,0.46,5054.05,470.00,5524.05,68.30,6.35,74.65,63.57,4,0.32,74
5255,31,7.61,0.61,1918.10,140.00,2058.10,61.87,4.52,66.39,68.17,4,0.29,31
5256,2,7.50,1.00,53.10,50.00,103.10,26.55,25.00,51.55,,4,0.00,2
5260,6,6.00,0.83,312.60,0.00,312.60,52.10,0.00,52.10,70.00,4,0.17,6
5264,9,7.22,0.44,660.95,50.00,710.95,73.44,5.56,78.99,71.75,4,0.44,9
5267,10,6.70,0.70,665.20,38.30,703.50,66.52,3.83,70.35,56.60,4,0.40,10
5268,20,7.50,0.45,2096.65,5.00,2101.65,104.83,0.25,105.08,77.08,4,0.65,20
5271,22,6.91,0.55,1452.90,150.00,1602.90,66.04,6.82,72.86,62.22,4,0.32,22
5275,9,7.44,0.67,733.20,36.00,769.20,81.47,4.00,85.47,70.86,4,0.67,9
5276,11,6.91,0.45,1000.10,0.00,1000.10,90.92,0.00,90.92,70.57,4,0.45,11
5277,8,7.38,0.88,472.00,60.00,532.00,59.00,7.50,66.50,69.00,4,0.38,8
5278,1,10.00,0.00,138.00,0.00,138.00,138.00,0.00,138.00,78.00,4,1.00,1
5280,25,7.24,0.44,2097.15,50.00,2147.15,83.89,2.00,85.89,68.00,4,0.40,25
5290,98,7.15,0.62,6705.15,55.00,6760.15,68.42,0.56,68.98,63.37,4,0.38,98
5291,10,7.30,0.70,598.40,50.00,648.40,59.84,5.00,64.84,60.80,4,0.20,10
5302,5,7.40,0.00,332.85,0.00,332.85,66.57,0.00,66.57,71.20,4,0.40,5
5304,1,7.00,1.00,75.00,0.00,75.00,75.00,0.00,75.00,,4,0.00,1
5307,3,7.67,0.67,48.00,150.00,198.00,16.00,50.00,66.00,66.00,4,0.33,3
5320,2,7.50,0.50,111.50,0.00,111.50,55.75,0.00,55.75,50.50,4,0.50,2
5330,15,7.07,0.40,893.85,190.00,1083.85,59.59,12.67,72.26,67.82,4,0.33,15
5333,29,7.24,0.55,1998.80,255.00,2253.80,68.92,8.79,77.72,69.80,4,0.45,29
5340,4,5.50,0.50,339.05,0.00,339.05,84.76,0.00,84.76,72.50,4,0.25,4
5341,23,6.78,0.65,1887.30,70.00,1957.30,82.06,3.04,85.10,71.92,4,0.57,23
5343,13,7.46,0.46,881.30,5.00,886.30,67.79,0.38,68.18,73.00,4,0.38,13
5345,6,6.17,0.50,603.30,0.00,603.30,100.55,0.00,100.55,70.60,4,0.67,6
5346,1,9.00,0.00,126.00,0.00,126.00,126.00,0.00,126.00,51.00,4,1.00,1
5351,15,7.20,0.53,1216.15,0.00,1216.15,81.08,0.00,81.08,68.91,4,0.53,15
5352,28,7.39,0.43,2463.50,156.00,2619.50,87.98,5.57,93.55,66.25,4,0.64,28
5353,14,6.71,0.71,890.20,40.00,930.20,63.59,2.86,66.44,61.77,4,0.36,14
5354,1,7.00,1.00,15.00,0.00,15.00,15.00,0.00,15.00,57.00,4,0.00,1
5355,32,7.19,0.56,1917.60,20.00,1937.60,59.93,0.63,60.55,63.67,4,0.19,32
5360,5,7.00,0.80,332.75,50.00,382.75,66.55,10.00,76.55,65.50,4,0.40,5
5371,1,7.00,0.00,82.00,0.00,82.00,82.00,0.00,82.00,61.00,4,1.00,1
5372,5,7.20,0.60,355.65,0.00,355.65,71.13,0.00,71.13,60.00,4,0.40,5
5373,11,7.27,0.45,560.35,80.00,640.35,50.94,7.27,58.21,56.20,4,0.27,11
5374,3,7.33,0.67,129.00,100.00,229.00,43.00,33.33,76.33,53.00,4,0.67,3
5401,4,7.50,0.25,162.00,20.00,182.00,40.50,5.00,45.50,65.00,4,0.25,4
5412,7,7.00,0.57,514.00,0.00,514.00,73.43,0.00,73.43,70.00,4,0.29,7
5413,3,7.67,0.00,111.10,20.00,131.10,37.03,6.67,43.70,62.00,4,0.00,3
5417,5,7.80,0.40,546.50,0.00,546.50,109.30,0.00,109.30,72.00,4,0.60,5
5422,9,7.22,0.33,736.55,90.00,826.55,81.84,10.00,91.84,66.67,4,0.22,9
5431,6,7.33,0.50,519.20,25.00,544.20,86.53,4.17,90.70,62.60,4,0.50,6
5433,7,7.29,0.29,425.65,50.00,475.65,60.81,7.14,67.95,64.50,4,0.29,7
5434,2,7.50,1.00,57.10,25.00,82.10,28.55,12.50,41.05,64.00,4,0.00,2
5451,3,8.67,0.33,229.20,0.00,229.20,76.40,0.00,76.40,55.00,4,0.33,3
5453,14,6.86,0.50,1043.60,70.00,1113.60,74.54,5.00,79.54,64.15,4,0.64,14
5461,16,7.38,0.44,1592.95,65.00,1657.95,99.56,4.06,103.62,62.75,4,0.44,16
5473,1,7.00,0.00,100.00,0.00,100.00,100.00,0.00,100.00,52.00,4,1.00,1
5480,4,7.50,0.75,203.55,3.00,206.55,50.89,0.75,51.64,,4,0.00,4
5485,1,7.00,0.00,30.00,0.00,30.00,30.00,0.00,30.00,,4,0.00,1
5491,12,7.58,0.58,855.25,0.00,855.25,71.27,0.00,71.27,59.43,4,0.33,12
5495,2,7.50,1.00,110.00,0.00,110.00,55.00,0.00,55.00,66.00,4,0.50,2
5501,13,7.15,0.69,643.65,70.00,713.65,49.51,5.38,54.90,59.86,4,0.23,13
5502,6,7.33,0.67,761.50,0.00,761.50,126.92,0.00,126.92,74.33,4,0.67,6
