,num_streets,age,Acq,avg donation value,profitable,cluster,avg income,collection_amount,donation_amount,total_received,postcode
75,2,52.0,1.0,461.3562047,1,0,68752.56318,104.0,0.0,104.0,
76,2,85.0,1.0,461.3562047,1,0,68752.56318,0.0,100.0,100.0,820
77,2,59.0,1.0,461.3562047,1,0,68752.56318,0.0,100.0,100.0,820
78,2,56.0,1.0,461.3562047,1,0,68752.56318,98.0,0.0,98.0,820
79,2,61.0,1.0,461.3562047,1,0,68752.56318,87.0,0.0,87.0,
80,2,53.0,0.0,461.3562047,0,0,68752.56318,70.0,0.0,70.0,820
81,2,70.0,1.0,461.3562047,0,0,68752.56318,61.0,0.0,61.0,
82,2,64.0,1.0,461.3562047,0,0,68752.56318,55.0,0.0,55.0,820
83,2,70.0,1.0,461.3562047,0,0,68752.56318,50.0,0.0,50.0,
84,2,59.0,1.0,461.3562047,0,0,68752.56318,47.0,0.0,47.0,
85,2,46.0,1.0,461.3562047,0,0,68752.56318,45.0,0.0,45.0,
86,2,57.0,1.0,461.3562047,0,0,68752.56318,41.0,0.0,41.0,
87,2,67.0,1.0,461.3562047,0,0,68752.56318,0.0,20.0,20.0,
88,2,59.0,1.0,692.6717172,1,4,88342.398,0.0,100.0,100.0,
89,2,38.0,1.0,692.6717172,0,4,88342.398,50.0,0.0,50.0,
90,1,54.0,1.0,2193.902033,1,1,90029.27358,1031.5,0.0,1031.5,
91,1,80.0,1.0,2193.902033,1,1,90029.27358,85.0,0.0,85.0,830
92,1,66.0,1.0,414.6567623,1,4,68641.78439,192.0,0.0,192.0,
93,1,45.0,1.0,671.0736059,0,4,72288.16173,60.0,0.0,60.0,830
94,9,46.0,1.0,862.3593272,1,2,97212.71674,127.0,0.0,127.0,830
95,1,50.0,1.0,862.3593272,1,2,97212.71674,100.0,0.0,100.0,
96,1,57.0,1.0,862.3593272,0,2,97212.71674,25.0,50.0,75.0,830
97,1,36.0,1.0,862.3593272,0,2,97212.71674,25.0,0.0,25.0,830
98,1,60.0,0.0,1527.514147,1,1,111004.6112,95.0,0.0,95.0,
99,1,62.0,0.0,493.0516591,1,4,84749.62658,263.0,0.0,263.0,830
100,1,76.0,1.0,493.0516591,1,4,84749.62658,172.0,0.0,172.0,
101,1,64.0,1.0,493.0516591,0,4,84749.62658,50.0,0.0,50.0,
102,1,72.0,0.0,586.8450258,0,0,82890.14904,45.0,0.0,45.0,830
103,9,71.0,1.0,586.8450258,0,0,82890.14904,34.5,0.0,34.5,830
104,2,71.0,0.0,386.8738931,1,4,77156.78509,304.0,0.0,304.0,
105,9,69.0,1.0,386.8738931,1,4,77156.78509,150.0,0.0,150.0,830
106,1,28.0,0.0,386.8738931,0,4,77156.78509,62.0,0.0,62.0,830
107,9,35.0,1.0,386.8738931,0,4,77156.78509,50.0,0.0,50.0,
108,9,54.0,1.0,386.8738931,0,4,77156.78509,31.1,0.0,31.1,832
109,9,81.0,1.0,386.8738931,0,4,77156.78509,30.0,0.0,30.0,
110,1,69.0,0.0,427.7109288,1,4,67812.56919,124.0,0.0,124.0,
111,1,61.0,1.0,427.7109288,1,4,67812.56919,85.0,0.0,85.0,832
112,1,60.0,1.0,427.7109288,0,4,67812.56919,51.0,0.0,51.0,832
113,1,76.0,0.0,427.7109288,0,4,67812.56919,50.0,0.0,50.0,
114,1,95.0,1.0,427.7109288,0,4,67812.56919,27.0,0.0,27.0,
115,9,68.0,1.0,427.7109288,0,4,67812.56919,0.0,20.0,20.0,832
116,1,57.0,0.0,379.9534989,0,4,74286.23297,57.5,0.0,57.5,832
117,1,43.0,0.0,379.9534989,0,4,74286.23297,55.0,0.0,55.0,
118,1,49.0,1.0,392.1661992,1,4,68660.91619,192.0,0.0,192.0,835
119,9,60.0,1.0,392.1661992,1,4,68660.91619,0.0,100.0,100.0,
120,9,54.0,1.0,392.1661992,1,4,68660.91619,89.0,0.0,89.0,836
121,1,58.0,0.0,392.1661992,1,4,68660.91619,86.0,0.0,86.0,836
122,9,70.0,1.0,392.1661992,0,4,68660.91619,60.0,0.0,60.0,836
123,1,41.0,1.0,392.1661992,0,4,68660.91619,12.0,0.0,12.0,
124,1,69.0,1.0,1511.728296,1,2,139050.2839,390.0,0.0,390.0,
125,1,61.0,0.0,1511.728296,1,2,139050.2839,260.0,0.0,260.0,839
126,1,56.0,0.0,1511.728296,1,2,139050.2839,225.0,0.0,225.0,841
127,1,66.0,0.0,1511.728296,1,2,139050.2839,140.0,0.0,140.0,845
128,1,60.0,1.0,1511.728296,1,2,139050.2839,130.0,0.0,130.0,
129,1,69.0,1.0,1511.728296,1,2,139050.2839,100.0,0.0,100.0,
130,1,70.0,0.0,1511.728296,1,2,139050.2839,85.0,0.0,85.0,850
131,1,64.0,0.0,1511.728296,0,2,139050.2839,65.0,0.0,65.0,851
132,1,66.0,0.0,1511.728296,0,2,139050.2839,61.0,0.0,61.0,
133,1,16.0,1.0,1511.728296,0,2,139050.2839,0.0,50.0,50.0,860
134,1,63.0,1.0,1511.728296,0,2,139050.2839,0.0,20.0,20.0,
135,1,77.0,0.0,1042.903145,1,0,101789.9633,192.3,0.0,192.3,870
136,1,69.0,1.0,1042.903145,1,0,101789.9633,156.0,0.0,156.0,870
137,9,72.0,1.0,1042.903145,1,0,101789.9633,102.0,10.0,112.0,
138,1,73.0,0.0,1042.903145,1,0,101789.9633,110.0,0.0,110.0,870
139,1,82.0,1.0,1042.903145,1,0,101789.9633,100.0,0.0,100.0,870
140,1,48.0,0.0,1042.903145,1,0,101789.9633,95.1,0.0,95.1,870
141,1,71.0,1.0,1042.903145,1,0,101789.9633,82.5,0.0,82.5,870
142,1,83.0,1.0,1042.903145,0,0,101789.9633,16.0,50.0,66.0,870
143,1,61.0,0.0,5050.535385,1,1,198061.6291,290.0,0.0,290.0,
144,9,75.0,1.0,5050.535385,0,1,198061.6291,65.0,0.0,65.0,870
145,1,51.0,1.0,5050.535385,0,1,198061.6291,32.0,0.0,32.0,870
146,9,53.0,1.0,2002.2966,1,2,141632.4975,200.0,0.0,200.0,
147,1,56.0,1.0,2002.2966,1,2,141632.4975,100.0,0.0,100.0,870
148,1,73.0,1.0,2002.2966,1,2,141632.4975,80.0,0.0,80.0,
149,1,56.0,1.0,2002.2966,0,2,141632.4975,58.0,0.0,58.0,
150,9,28.0,1.0,2002.2966,0,2,141632.4975,40.0,0.0,40.0,870
151,1,84.0,0.0,3060.347072,1,2,169595.7956,450.0,0.0,450.0,
152,1,87.0,1.0,3060.347072,1,2,169595.7956,400.0,0.0,400.0,870
153,1,60.0,0.0,3060.347072,1,2,169595.7956,245.0,0.0,245.0,870
154,9,16.0,1.0,3060.347072,1,2,169595.7956,54.3,40.0,94.3,870
155,1,72.0,1.0,3060.347072,0,2,169595.7956,52.0,0.0,52.0,
156,9,74.0,1.0,2250.206266,1,3,109373.6519,0.0,500.0,500.0,
157,1,76.0,0.0,2250.206266,1,3,109373.6519,199.0,0.0,199.0,
158,1,62.0,1.0,2250.206266,1,3,109373.6519,150.0,0.0,150.0,870
159,9,56.0,1.0,2250.206266,1,3,109373.6519,100.0,0.0,100.0,870
160,1,65.0,1.0,2250.206266,1,3,109373.6519,100.0,0.0,100.0,870
161,1,57.0,1.0,2250.206266,1,3,109373.6519,69.45,30.55,100.0,870
162,1,63.0,1.0,2250.206266,1,3,109373.6519,90.0,0.0,90.0,870
163,1,68.0,0.0,2250.206266,0,3,109373.6519,56.65,0.0,56.65,
164,1,65.0,0.0,2250.206266,0,3,109373.6519,45.0,0.0,45.0,
165,9,79.0,1.0,2250.206266,0,3,109373.6519,26.0,0.0,26.0,
166,9,78.0,1.0,2250.206266,0,3,109373.6519,0.0,5.0,5.0,870
167,1,67.0,1.0,15174.70022,1,3,261782.319,90.0,0.0,90.0,870
168,1,86.0,0.0,15174.70022,1,3,261782.319,80.0,0.0,80.0,870
169,1,72.0,0.0,3478.819983,1,2,166800.9004,135.0,500.0,635.0,
170,1,83.0,0.0,3478.819983,1,2,166800.9004,124.0,0.0,124.0,870
171,1,78.0,0.0,2352.578654,1,2,133893.0398,344.0,0.0,344.0,
172,1,64.0,0.0,2352.578654,1,2,133893.0398,243.05,0.0,243.05,871
173,1,57.0,1.0,2352.578654,1,2,133893.0398,235.0,0.0,235.0,
174,1,68.0,0.0,2352.578654,1,2,133893.0398,235.0,0.0,235.0,871
175,1,66.0,1.0,2352.578654,1,2,133893.0398,110.0,0.0,110.0,871
176,9,82.0,1.0,2352.578654,0,2,133893.0398,50.0,0.0,50.0,
177,1,64.0,1.0,2352.578654,0,2,133893.0398,36.0,0.0,36.0,
178,1,45.0,1.0,2352.578654,0,2,133893.0398,24.7,0.0,24.7,
179,1,72.0,1.0,9873.395527,1,3,208121.9458,250.0,0.0,250.0,
180,1,72.0,0.0,9873.395527,1,3,208121.9458,186.45,13.55,200.0,880
181,1,92.0,0.0,9873.395527,1,3,208121.9458,192.5,0.0,192.5,
182,1,57.0,0.0,9873.395527,1,3,208121.9458,191.0,0.0,191.0,880
183,1,48.0,0.0,9873.395527,1,3,208121.9458,146.5,20.0,166.5,881
184,1,72.0,1.0,9873.395527,1,3,208121.9458,150.0,0.0,150.0,881
185,1,83.0,1.0,9873.395527,0,3,208121.9458,65.4,0.0,65.4,881
186,1,60.0,1.0,9873.395527,0,3,208121.9458,62.95,0.0,62.95,881
187,1,76.0,1.0,9873.395527,0,3,208121.9458,60.0,0.0,60.0,881
188,1,85.0,1.0,9873.395527,0,3,208121.9458,50.0,0.0,50.0,
189,1,71.0,1.0,9873.395527,0,3,208121.9458,29.0,0.0,29.0,
190,1,70.0,0.0,749.1847134,1,1,104414.0139,210.1,0.0,210.1,
191,1,75.0,1.0,749.1847134,1,1,104414.0139,179.0,0.0,179.0,1460
192,1,55.0,0.0,749.1847134,1,1,104414.0139,162.85,0.0,162.85,1499
193,2,76.0,0.0,749.1847134,1,1,104414.0139,116.0,0.0,116.0,1565
194,1,52.0,1.0,749.1847134,1,1,104414.0139,110.0,0.0,110.0,1565
195,1,45.0,0.0,749.1847134,1,1,104414.0139,110.0,0.0,110.0,1570
196,1,54.0,1.0,749.1847134,1,1,104414.0139,101.0,0.0,101.0,
197,1,47.0,1.0,749.1847134,1,1,104414.0139,100.0,0.0,100.0,1675
198,1,47.0,0.0,749.1847134,1,1,104414.0139,100.0,0.0,100.0,1675
199,1,46.0,0.0,749.1847134,1,1,104414.0139,100.0,0.0,100.0,
200,1,75.0,0.0,749.1847134,1,1,104414.0139,100.0,0.0,100.0,
201,1,48.0,0.0,749.1847134,1,1,104414.0139,90.0,0.0,90.0,1755
202,2,58.0,0.0,749.1847134,0,1,104414.0139,68.0,0.0,68.0,1755
203,9,57.0,1.0,749.1847134,0,1,104414.0139,50.0,0.0,50.0,
204,1,77.0,1.0,749.1847134,0,1,104414.0139,0.0,50.0,50.0,
205,1,38.0,0.0,749.1847134,0,1,104414.0139,50.0,0.0,50.0,
206,1,48.0,1.0,749.1847134,0,1,104414.0139,40.0,0.0,40.0,1790
207,1,67.0,0.0,749.1847134,0,1,104414.0139,16.0,0.0,16.0,
208,1,60.0,0.0,546.2550689,1,4,78454.43922,298.3,0.0,298.3,1848
209,1,57.0,1.0,546.2550689,1,4,78454.43922,182.0,0.0,182.0,2000
210,1,58.0,1.0,546.2550689,1,4,78454.43922,131.2,0.0,131.2,
211,1,89.0,0.0,546.2550689,0,4,78454.43922,70.0,0.0,70.0,
212,9,61.0,1.0,546.2550689,0,4,78454.43922,20.0,30.0,50.0,2000
213,1,66.0,1.0,546.2550689,0,4,78454.43922,34.0,0.0,34.0,2007
214,1,72.0,1.0,546.2550689,0,4,78454.43922,0.0,30.0,30.0,
215,1,89.0,1.0,546.2550689,0,4,78454.43922,30.0,0.0,30.0,
216,9,40.0,1.0,546.2550689,0,4,78454.43922,24.0,0.0,24.0,
217,1,75.0,1.0,723.2303086,1,0,92261.16645,327.0,0.0,327.0,2008
218,1,66.0,1.0,723.2303086,1,0,92261.16645,188.6,0.0,188.6,
219,1,75.0,1.0,723.2303086,1,0,92261.16645,130.0,0.0,130.0,
220,1,52.0,1.0,723.2303086,1,0,92261.16645,110.0,0.0,110.0,
221,1,91.0,0.0,723.2303086,1,0,92261.16645,94.0,0.0,94.0,
222,1,66.0,0.0,723.2303086,1,0,92261.16645,86.0,0.0,86.0,
223,1,78.0,0.0,723.2303086,0,0,92261.16645,50.0,0.0,50.0,2010
224,1,66.0,0.0,702.5124448,1,2,104271.5657,320.0,0.0,320.0,
225,1,63.0,0.0,702.5124448,1,2,104271.5657,167.0,0.0,167.0,
226,9,74.0,1.0,702.5124448,1,2,104271.5657,160.0,0.0,160.0,
227,2,78.0,1.0,702.5124448,1,2,104271.5657,135.0,0.0,135.0,2010
228,1,78.0,1.0,702.5124448,0,2,104271.5657,69.65,0.0,69.65,2010
229,1,72.0,0.0,702.5124448,0,2,104271.5657,26.0,0.0,26.0,
230,1,74.0,1.0,702.5124448,0,2,104271.5657,25.0,0.0,25.0,
231,1,70.0,0.0,702.5124448,0,2,104271.5657,25.0,0.0,25.0,2010
232,1,53.0,1.0,702.5124448,0,2,104271.5657,20.0,0.0,20.0,
233,1,91.0,1.0,702.5124448,0,2,104271.5657,15.5,0.0,15.5,
234,2,87.0,0.0,599.3554244,1,2,86359.10618,209.75,0.0,209.75,
235,1,68.0,0.0,599.3554244,1,2,86359.10618,165.5,0.0,165.5,2011
236,1,63.0,0.0,599.3554244,1,2,86359.10618,156.0,0.0,156.0,
237,1,25.0,1.0,599.3554244,1,2,86359.10618,112.0,0.0,112.0,
238,1,71.0,1.0,599.3554244,1,2,86359.10618,98.2,0.0,98.2,2015
239,1,77.0,0.0,599.3554244,0,2,86359.10618,60.0,0.0,60.0,2015
240,9,62.0,1.0,599.3554244,0,2,86359.10618,28.0,0.0,28.0,
241,3,23.0,1.0,599.3554244,0,2,86359.10618,0.0,20.0,20.0,
242,1,61.0,0.0,599.3554244,0,2,86359.10618,20.0,0.0,20.0,
243,9,71.0,1.0,446.4762345,1,0,76822.97497,170.0,0.0,170.0,2015
244,1,68.0,0.0,446.4762345,1,0,76822.97497,128.0,0.0,128.0,
245,1,53.0,1.0,446.4762345,1,0,76822.97497,110.0,0.0,110.0,
246,1,54.0,1.0,446.4762345,1,0,76822.97497,100.0,0.0,100.0,
247,9,50.0,1.0,446.4762345,1,0,76822.97497,100.0,0.0,100.0,
248,1,69.0,0.0,446.4762345,1,0,76822.97497,84.0,0.0,84.0,2016
249,9,81.0,1.0,446.4762345,1,0,76822.97497,80.0,0.0,80.0,2016
250,9,64.0,1.0,446.4762345,0,0,76822.97497,60.0,0.0,60.0,2017
251,1,21.0,1.0,446.4762345,0,0,76822.97497,46.0,0.0,46.0,2017
252,9,50.0,1.0,446.4762345,0,0,76822.97497,40.0,0.0,40.0,2017
253,1,73.0,1.0,446.4762345,0,0,76822.97497,40.0,0.0,40.0,2017
254,9,65.0,1.0,446.4762345,0,0,76822.97497,40.0,0.0,40.0,2017
255,9,55.0,1.0,446.4762345,0,0,76822.97497,35.7,0.0,35.7,2017
256,1,49.0,1.0,446.4762345,0,0,76822.97497,0.0,20.0,20.0,
257,9,64.0,1.0,1031.189037,1,0,94803.38176,1250.0,0.0,1250.0,2018
258,1,64.0,1.0,1031.189037,1,0,94803.38176,400.0,0.0,400.0,2018
259,9,56.0,0.0,1031.189037,1,0,94803.38176,147.0,0.0,147.0,
260,1,66.0,0.0,1031.189037,1,0,94803.38176,102.0,0.0,102.0,2018
261,1,75.0,0.0,1031.189037,0,0,94803.38176,55.0,0.0,55.0,
262,1,67.0,1.0,728.3236301,1,0,104890.2859,145.0,0.0,145.0,2018
263,1,61.0,0.0,728.3236301,1,0,104890.2859,110.0,0.0,110.0,2018
264,2,87.0,1.0,728.3236301,1,0,104890.2859,108.0,0.0,108.0,
265,1,72.0,0.0,728.3236301,0,0,104890.2859,70.0,0.0,70.0,2018
266,1,50.0,1.0,728.3236301,0,0,104890.2859,50.0,0.0,50.0,
267,1,41.0,1.0,728.3236301,0,0,104890.2859,27.0,20.0,47.0,
268,1,66.0,1.0,728.3236301,0,0,104890.2859,0.0,30.0,30.0,
269,9,53.0,1.0,777.6830036,1,0,114993.3892,253.0,0.0,253.0,
270,1,75.0,0.0,777.6830036,1,0,114993.3892,247.9,0.0,247.9,
271,9,75.0,1.0,777.6830036,1,0,114993.3892,100.0,0.0,100.0,2019
