,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
120,2020,9,54.0,1.0,4,1,2,68660.91619
121,2020,1,58.0,0.0,4,1,2,68660.91619
122,2020,9,70.0,1.0,4,0,2,68660.91619
123,2020,1,41.0,1.0,4,0,2,68660.91619
124,2021,1,69.0,1.0,4,1,0,139050.2839
125,2021,1,61.0,0.0,4,1,0,139050.2839
126,2021,1,56.0,0.0,4,1,0,139050.2839
127,2021,1,66.0,0.0,4,1,0,139050.2839
128,2021,1,60.0,1.0,4,1,0,139050.2839
129,2021,1,69.0,1.0,4,1,0,139050.2839
130,2021,1,70.0,0.0,4,1,0,139050.2839
131,2021,1,64.0,0.0,4,0,0,139050.2839
132,2021,1,66.0,0.0,4,0,0,139050.2839
133,2021,1,16.0,1.0,4,0,0,139050.2839
134,2021,1,63.0,1.0,4,0,0,139050.2839
135,2022,1,77.0,0.0,4,1,3,101789.9633
136,2022,1,69.0,1.0,4,1,3,101789.9633
137,2022,9,72.0,1.0,4,1,3,101789.9633
138,2022,1,73.0,0.0,4,1,3,101789.9633
139,2022,1,82.0,1.0,4,1,3,101789.9633
140,2022,1,48.0,0.0,4,1,3,101789.9633
141,2022,1,71.0,1.0,4,1,3,101789.9633
142,2022,1,83.0,1.0,4,0,3,101789.9633
143,2023,1,61.0,0.0,4,1,4,198061.6291
144,2023,9,75.0,1.0,4,0,4,198061.6291
145,2023,1,51.0,1.0,4,0,4,198061.6291
146,2024,9,53.0,1.0,4,1,0,141632.4975
147,2024,1,56.0,1.0,4,1,0,141632.4975
148,2024,1,73.0,1.0,4,1,0,141632.4975
149,2024,1,56.0,1.0,4,0,0,141632.4975
150,2024,9,28.0,1.0,4,0,0,141632.4975
151,2025,1,84.0,0.0,4,1,0,169595.7956
152,2025,1,87.0,1.0,4,1,0,169595.7956
153,2025,1,60.0,0.0,4,1,0,169595.7956
154,2025,9,16.0,1.0,4,1,0,169595.7956
155,2025,1,72.0,1.0,4,0,0,169595.7956
156,2026,9,74.0,1.0,4,1,1,109373.6519
157,2026,1,76.0,0.0,4,1,1,109373.6519
158,2026,1,62.0,1.0,4,1,1,109373.6519
159,2026,9,56.0,1.0,4,1,1,109373.6519
160,2026,1,65.0,1.0,4,1,1,109373.6519
161,2026,1,57.0,1.0,4,1,1,109373.6519
162,2026,1,63.0,1.0,4,1,1,109373.6519
163,2026,1,68.0,0.0,4,0,1,109373.6519
164,2026,1,65.0,0.0,4,0,1,109373.6519
165,2026,9,79.0,1.0,4,0,1,109373.6519
166,2026,9,78.0,1.0,4,0,1,109373.6519
167,2027,1,67.0,1.0,4,1,1,261782.319
168,2027,1,86.0,0.0,4,1,1,261782.319
169,2028,1,72.0,0.0,4,1,0,166800.9004
170,2028,1,83.0,0.0,4,1,0,166800.9004
171,2029,1,78.0,0.0,4,1,0,133893.0398
172,2029,1,64.0,0.0,4,1,0,133893.0398
173,2029,1,57.0,1.0,4,1,0,133893.0398
174,2029,1,68.0,0.0,4,1,0,133893.0398
175,2029,1,66.0,1.0,4,1,0,133893.0398
176,2029,9,82.0,1.0,4,0,0,133893.0398
177,2029,1,64.0,1.0,4,0,0,133893.0398
178,2029,1,45.0,1.0,4,0,0,133893.0398
179,2030,1,72.0,1.0,4,1,1,208121.9458
180,2030,1,72.0,0.0,4,1,1,208121.9458
181,2030,1,92.0,0.0,4,1,1,208121.9458
182,2030,1,57.0,0.0,4,1,1,208121.9458
183,2030,1,48.0,0.0,4,1,1,208121.9458
184,2030,1,72.0,1.0,4,1,1,208121.9458
185,2030,1,83.0,1.0,4,0,1,208121.9458
186,2030,1,60.0,1.0,4,0,1,208121.9458
187,2030,1,76.0,1.0,4,0,1,208121.9458
188,2030,1,85.0,1.0,4,0,1,208121.9458
189,2030,1,71.0,1.0,4,0,1,208121.9458
190,2031,1,70.0,0.0,4,1,4,104414.0139
191,2031,1,75.0,1.0,4,1,4,104414.0139
192,2031,1,55.0,0.0,4,1,4,104414.0139
193,2031,2,76.0,0.0,4,1,4,104414.0139
194,2031,1,52.0,1.0,4,1,4,104414.0139
195,2031,1,45.0,0.0,4,1,4,104414.0139
196,2031,1,54.0,1.0,4,1,4,104414.0139
197,2031,1,47.0,1.0,4,1,4,104414.0139
198,2031,1,47.0,0.0,4,1,4,104414.0139
199,2031,1,46.0,0.0,4,1,4,104414.0139
200,2031,1,75.0,0.0,4,1,4,104414.0139
201,2031,1,48.0,0.0,4,1,4,104414.0139
202,2031,2,58.0,0.0,4,0,4,104414.0139
203,2031,9,57.0,1.0,4,0,4,104414.0139
204,2031,1,77.0,1.0,4,0,4,104414.0139
205,2031,1,38.0,0.0,4,0,4,104414.0139
206,2031,1,48.0,1.0,4,0,4,104414.0139
