postcode,tax individuals,avg tax income,avg gross tax paid,avg net tax paid,avg salary,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2031,18415,100075.3147,27602.62225,28520.17649,85873.60032,196,8701.94898,104414.0139,8321,6233966,749.1847134
2032,6013,75324.9832,17843.26297,18386.50258,69519.9726,78,8884.115385,78454.43922,2466,1347065,546.2550689
2033,5287,88450.01986,23072.64724,23795.24418,75327.22872,38,8120.526316,92261.16645,2171,1570133,723.2303086
2034,11402,99799.08007,27464.99526,28279.81293,86597.58092,85,9255.152941,104271.5657,4982,3499917,702.5124448
2035,15850,82663.81558,20572.2732,21136.23609,73834.10777,229,8828.174672,86359.10618,6775,4060633,599.3554244
2036,12225,73326.30806,16857.75442,17390.0809,69415.84423,208,8053.475962,76822.97497,5407,2414097,446.4762345
2037,6931,90894.76078,24012.92305,24801.90535,79181.14455,47,7749.723404,94803.38176,2846,2934764,1031.189037
2038,4876,100619.0915,27372.05599,28378.89787,90839.88567,41,8550.439024,104890.2859,2336,1701364,728.3236301
2039,4617,110126.6649,31049.31809,32076.0444,100519.6359,33,9399.090909,114993.3892,2224,1729567,777.6830036
2040,10664,93116.11403,24229.35045,25117.5256,86692.33464,101,7984.019802,96842.71371,5077,3006103,592.1022257
2041,8767,140518.5768,44403.82088,45702.8094,111634.8076,61,8306.04918,148065.1286,4328,21057727,4865.463725
2042,10188,78017.9625,18529.11181,19217.40715,72769.70847,59,7139.79661,81014.12318,4537,2603976,573.9422526
2043,4360,86772.79106,21607.35736,22572.52798,81048.54139,19,8430.631579,90247.01881,2039,1053290,516.5718489
2044,4026,68768.38698,14736.88947,15405.20045,68040.79647,37,8091.081081,71700.97839,1860,690917,371.4607527
2045,3217,111838.9621,32994.20796,34078.18154,86836.4694,45,8620.555556,116014.9711,1564,1074867,687.2551151
2046,12822,91041.81633,23617.44687,24422.75651,82609.88307,171,9213.48538,95177.90134,6178,3700533,598.985594
2047,6148,109153.6495,30953.64458,31898.2596,92535.62244,69,8670.536232,114190.0952,3002,3272446,1090.088608
2048,4021,83736.59935,20676.53214,21428.30987,78253.29148,28,8410.25,87112.8953,1871,1110881,593.7365045
2049,5356,80506.69884,19519.80568,20312.27539,74466.95763,43,8017.627907,84056.81479,2532,3248593,1283.014613
2050,4262,87405.2114,21905.15316,22794.23088,83364.88329,20,9523.1,91235.77358,1865,1178814,632.0718499
2052,54,73741.7037,18054.53704,18449.85185,71149.35417,0,0,77795.31481,16,10043,627.6875
2060,8217,114492.9378,33479.25895,34468.45698,93729.85331,67,9903.686567,122098.6075,3483,28347620,8138.851565
2061,3471,138859.5434,43709.6416,44915.5157,106142.6982,20,7128.15,146422.244,1507,7286640,4835.195753
2062,3900,114683.6959,33183.55795,34241.52487,99739.37728,30,8063.333333,119401.7336,1836,1575984,858.379085
2063,3220,193816.6649,68001.68137,69334.17019,139507.2418,37,8216.675676,201243.3075,1578,3098288,1963.427123
2064,4761,97260.2134,26394.20576,27244.40601,85423.02434,50,8521.54,100759.7045,2064,2118873,1026.585756
2065,16794,108875.4736,30887.94447,31800.18239,93936.13305,128,8464.5625,113120.3331,7449,7116157,955.3170895
2066,14525,117184.8839,34679.22478,35771.45515,95546.27395,184,8581.391304,122171.5258,6859,8495222,1238.551101
2067,11278,87493.32993,22624.10012,23255.2355,80324.09993,139,9041.892086,91067.54993,4160,5532331,1329.88726
2068,8067,139739.7904,44403.0383,45736.82187,110504.5066,78,8546.064103,144890.8878,3924,4174812,1063.917431
2069,6904,152740.1301,50335.04606,51729.21915,111591.9682,70,8524.114286,158819.9855,3278,7266377,2216.710494
2070,6307,138124.9239,43702.09293,44903.62645,108589.2762,69,9332.15942,144393.7967,3046,10204131,3350.010177
2071,6228,139188.7717,44324.0681,45462.93818,108540.0788,68,9418.441176,145741.1811,2788,7788478,2793.571736
2072,3481,121075.8176,36673.9661,37640.22063,96684.47679,37,9530.675676,126489.1505,1520,2388176,1571.168421
2073,7759,126381.8207,38511.93707,39540.86738,103628.1769,93,8289.784946,131699.6578,3630,4716632,1299.347658
2074,10468,123812.7322,37522.60858,38473.41097,101327.9999,213,8656.014085,128634.704,5090,6277567,1233.313752
2075,9370,118953.7497,35483.27644,36304.04109,100704.0048,168,8271.660714,123708.1303,4264,5870131,1376.672373
2076,11176,118396.1934,35401.03624,36355.94792,95037.08606,196,9111.688776,123595.6771,5224,10370463,1985.157542
2077,16315,71213.03837,15792.25886,16358.34085,69453.31631,249,8082.425703,73787.18167,6719,4342579,646.3132907
2079,3443,75179.33401,17268.00436,17848.77781,72798.38167,53,6825.867925,78064.3738,1589,1202943,757.0440529
2080,776,84472.55541,21491.82732,22108.02964,72140.59829,11,9833.272727,87516.00515,364,202078,555.1593407
2081,2517,76391.34088,17766.14382,18323.11323,72803.28166,38,7387.868421,79110.19348,1140,524515,460.1008772
2082,2497,73753.17221,16708.06448,17288.35202,71131.25265,41,7134.731707,76506.31358,1142,555081,486.0604203
2083,677,73895.48892,17079.17899,17458.774,67541.98432,12,10593.16667,76698.06204,284,128215,451.4612676
2084,1798,114784.8687,34352.2386,35223.1535,82144.4993,24,8395.5,121955.1029,729,4870463,6681.019204
2085,5109,91695.62537,24135.72416,24465.85437,84819.37941,134,7792.440299,95827.47035,2381,3462597,1454.261655
2086,6092,90767.08913,23661.68664,24463.67712,82660.44304,101,8406.366337,94115.58437,2790,1433064,513.6430108
2087,5486,98170.47357,26622.0516,27350.65622,90481.13277,105,9324.361905,101830.9107,2713,1795776,661.915223
2088,15444,201435.6094,71605.15521,73309.30044,136909.351,162,10066.8642,210337.183,7259,26253727,3616.71401
2089,7193,114376.4132,33469.6522,34433.03156,96553.62956,74,8603.283784,119400.1257,3190,3760818,1178.939812
2090,7338,128676.2277,39449.85781,40646.19092,104370.5989,78,8539.974359,134263.8359,3350,5994050,1789.268657
2092,3392,152598.8025,49925.23061,51072.38738,116001.6218,28,5653,158155.9145,1463,1840219,1257.839371
2093,11108,115876.5104,34436.28543,35505.15322,98888.92411,144,8147.159722,120477.5771,4915,6597219,1342.262258
2094,3256,112386.5025,32382.01782,33374.27979,97177.39232,39,9411,117115.9152,1462,1210825,828.1976744
2095,9341,123057.3754,37509.90909,38436.69629,95575.36617,92,8796.869565,130193.5595,3688,26431542,7166.904013
2096,7987,115952.0446,34784.71101,36001.3522,87320.88278,83,8239.771084,120095.0845,3316,1910434,576.1260555
2097,7496,95802.60872,26170.28263,27004.73279,79777.48564,109,8623.275229,99767.3123,2994,2070349,691.499332
2099,19419,74928.92821,17661.16851,18229.78166,69281.9719,324,7616.67284,78251.22576,7275,3952600,543.3127148
2100,10120,80889.75682,19856.46644,20472.62955,75476.62009,172,7543.052326,84207.31472,4113,2136166,519.3693168
2101,9254,83268.03707,20883.86099,21509.36687,72738.17449,182,9069.340659,86937.62708,3637,2479561,681.759967
2102,3261,84989.80527,21456.86661,22090.39098,76210.42353,72,8030.819444,88948.44312,1290,1823090,1413.248062
2103,5315,85202.80301,21596.71993,22209.88617,74727.99884,100,7756.85,88979.15071,2123,1355248,638.3645784
2104,1706,127051.7186,39685.30832,40481.21981,90322.54561,54,9370.444444,132628.6166,665,1179289,1773.366917
2105,983,123408.5117,37930.42057,38744.63886,89242.66942,12,12797.91667,128317.8484,367,386979,1054.438692
2106,4829,100593.5941,28288.04041,29095.4883,76639.68479,73,7218.260274,105531.6422,1803,4011533,2224.921242
2107,7188,101605.6077,28663.88598,29334.90081,81826.00838,110,8483.218182,106193.4225,2612,2952876,1130.503828
2108,927,174413.0129,60362.32578,60830.33441,99194.77003,4,6259.25,185648.8198,377,3237897,8588.586207
2110,4747,188018.5439,65747.9408,67065.8675,115069.6495,62,9917.790323,199694.5452,2192,25541811,11652.28604
2111,6812,99313.3096,27225.85095,28123.99736,84344.68773,74,8702.743243,103435.0169,3202,2792631,872.1520924
2112,13394,76369.47506,17974.52192,18575.49164,70550.08743,186,8638.741935,79701.2354,5882,3603447,612.6227474
2113,8637,77562.13662,18224.87959,18887.78013,74675.66735,113,8140.424779,80683.9604,3806,2146774,564.0499212
2114,10409,71614.29676,15960.31588,16576.50697,69371.67215,117,8372.290598,74365.45682,4389,2451248,558.4980633
2115,4010,65705.36933,13775.45112,14275.09651,64532.58815,58,6686.103448,68403.75611,1701,638701,375.4855967
2116,2530,64310.48854,13178.55613,13680.32648,63824.98638,31,8722.290323,67056.00435,1100,434527,395.0245455
2117,8136,68257.08641,14845.29206,15394.58161,64604.9842,113,7924.40708,71197.37844,3310,1918173,579.5084592
2118,9667,71669.84152,16202.34864,16727.14348,67476.48315,155,8012.077419,74641.77377,4055,2353718,580.4483354
2119,5394,107498.8953,30467.75487,31281.13089,90868.58128,63,7665.349206,112181.7154,2597,4221049,1625.355795
2120,9446,83401.39117,20502.72483,21076.6715,79553.67306,138,7435.913043,86551.74307,4500,3400659,755.702
2121,12220,82624.21481,20386.36566,21028.30851,77259.50303,156,8199.653846,85916.57267,5367,5162836,961.9593814
2122,13153,72008.74249,16425.34216,16900.80491,67645.83227,200,8447.575,74946.88352,5509,3655811,663.6070067
2125,8128,100581.6197,27807.10433,28580.01403,85947.69933,93,6631.247312,104864.6451,3713,3443769,927.489631
2126,8655,85640.19064,21453.91749,22075.74084,81553.91075,119,7069.94958,89092.26308,4091,2638412,644.9308238
2127,5546,75623.22881,17279.83965,17969.10368,75352.9797,32,6745.09375,79355.25194,2249,1192622,530.2899066
2128,817,60125.67809,11895.48103,12356.44676,61643.90746,6,8647.833333,62740.16279,259,133279,514.5907336
2130,3654,79089.12781,18970.77595,19641.56322,73294.56142,35,9772.828571,82036.5873,1708,870153,509.45726
2131,10255,65310.84915,13843.00371,14337.80848,61567.3376,103,9086.902913,67744.44076,3962,2158573,544.8190308
2132,4545,74940.19802,17366.09375,17891.18328,70708.36615,58,9316.62069,78012.26007,2095,1191052,568.5212411
2133,4568,66362.3356,14054.20013,14534.14186,64455.15229,59,8183.016949,69471.20096,2030,943703,464.8783251
2134,5897,65839.41784,14624.37307,15072.835,59582.5451,54,9595.851852,68367.50941,1872,1012021,540.6095085
2135,11449,84649.6135,22035.72598,22692.76653,64377.58935,93,9121.516129,88239.14596,3715,3872547,1042.408345
2136,3325,69847.99759,15536.82045,16104.29835,65966.71634,43,8771.511628,72948.76481,1457,708468,486.2512011
2137,12225,89461.7065,23288.54872,24019.89129,77464.69595,139,8150.899281,93390.8944,5271,3225545,611.9417568
2138,7857,75473.67341,17532.19297,18178.77803,72156.36501,43,8464.488372,78507.91409,3011,1570385,521.5493192
2140,6155,61879.31048,12639.56094,13082.45768,60464.53413,32,8557.875,64483.38327,2043,973200,476.3582966
2141,10487,56821.19197,10754.40076,11113.09917,56326.61055,99,8158.343434,59060.06618,3773,1544850,409.4487146
2142,8294,53743.96311,9635.718799,9955.047986,54151.66565,86,9205.697674,56180.52882,2939,1278666,435.0683906
2143,2938,56211.38564,10457.71151,10773.8676,56377.78523,39,9298.153846,58645.19367,1237,566900,458.2861762
2144,10812,48408.86876,7912.277284,8125.544025,49657.38859,87,9508.413793,50489.51739,3174,1320091,415.9076875
2145,32033,63913.07967,13076.79442,13571.71935,63001.49759,450,7414.664444,66579.21621,13448,5329650,396.3154372
2146,7222,62113.22376,12360.24412,12839.88618,61490.1887,130,7988.376923,64714.57394,3295,1364310,414.0546282
2147,14917,61989.82825,12329.90339,12762.20929,61824.67625,263,7605.247148,64699.44721,7135,2604830,365.0777856
2148,24782,56485.34795,10422.13636,10825.06569,56906.26488,412,7989.317961,58945.82423,10471,3754606,358.5718652
2150,12972,60374.16574,11958.78057,12376.73589,59313.55018,79,9841.987342,62542.5074,3974,1565197,393.8593357
2151,8839,69178.54327,15174.28339,15706.32232,65881.15672,149,8164.147651,72050.98756,3785,1765184,466.3630119
2152,4796,68688.00542,14850.47382,15364.95496,67685.43726,100,8382.01,72314.94933,2189,951623,434.7295569
2153,25551,76169.92341,17695.22056,18348.7804,73404.80895,395,7541.660759,79534.54088,11617,5779413,497.4961694
2154,18068,86043.2298,21708.83141,22383.23771,79292.02801,289,8591.269896,89730.88172,8196,5102224,622.5261103
2155,22699,77823.83647,18206.19581,18925.49615,75274.52067,194,6922.747423,81382.06692,9946,5104438,513.2151619
2156,6279,98935.35706,27208.86697,27969.25402,78074.45,80,8471.25,103158.8958,2459,2140624,870.5262302
2157,1657,79054.48099,19506.57514,20175.26252,67517.36846,14,6412.5,82446.70851,570,678049,1189.559649
2158,4078,105815.4674,30627.1452,31180.40755,77659.79442,41,5987.731707,110222.9416,1597,1691690,1059.292423
2159,2379,86033.68432,22111.71278,22665.31274,73716.09406,39,8860.051282,90114.62631,909,714779,786.3355336
2160,12060,55969.93781,10392.11393,10753.54502,55760.51068,169,8775.378698,58550.08748,4814,1883577,391.2706689
2161,9157,53324.86469,9476.781479,9812.684722,54131.52309,139,8232.964029,55851.39609,3618,1450022,400.7799889
2162,5703,55393.94249,10164.9744,10485.8464,55190.83623,108,9116.231481,57954.4566,2373,945678,398.5158028
2163,2421,51300.20983,8849.527468,9014.580752,51441.29717,47,8940.361702,53707.7595,1049,409418,390.293613
2164,7125,58316.67888,11182.6457,11564.71256,56397.09008,143,8470.797203,61074.46147,3346,1071778,320.3161984
2165,11526,53254.39944,9410.238546,9724.731824,53067.72311,192,9162.671875,55762.28,5191,1797190,346.2126758
2166,15447,51652.80728,8898.487148,9197.724477,51225.15084,241,8228.896266,54005.81446,6634,2287595,344.8289117
2167,3757,60520.59223,11779.34522,12184.288,61197.03786,70,8233.614286,63219.53793,1714,681297,397.4894982
2168,13670,54430.72729,9764.106087,10078.72377,54879.18985,187,8860.213904,57207.85369,6228,2342967,376.1989403
2170,36130,59245.0171,11474.59384,11894.69228,58829.38653,558,7882.324373,62216.37091,15934,8345682,523.7656583
2171,14368,62996.39866,12762.58003,13332.6605,62184.30522,143,8292.65035,66200.9359,6734,2341995,347.7866053
2172,1074,77472.46648,18078.82945,18655.78212,73330.54049,9,8409.333333,80842.71881,511,253536,496.1565558
2173,6681,66904.03562,14006.29162,14502.88894,67186.83122,53,6131.471698,70230.99177,3450,1514594,439.0127536
2174,476,66052.76261,13863.93487,14388.21639,64085.96977,5,8220.4,69457.90546,202,59781,295.9455446
2175,777,72088.39254,16292.39125,16939.22651,58824.00644,4,11951.5,75479.14157,286,89963,314.5559441
2176,18355,58625.16246,11272.62768,11676.56998,57283.8988,272,7989.496324,61482.67774,8786,2871078,326.7787389
2177,5563,55032.14902,9955.603991,10382.96603,55492.05857,82,7301.329268,57821.20564,2553,870072,340.8037603
2178,1492,68585.52547,15253.99799,15847.82708,56019.01631,16,7657.375,71768.40952,566,184395,325.7862191
2179,1719,62865.74346,13012.63583,13480.47877,56073.05833,18,12042.72222,66100.6306,608,226338,372.2664474
2190,7416,56762.95618,10809.41572,11162.74838,56068.37496,95,8913.852632,59587.262,3048,1656820,543.5761155
2191,2260,62992.65796,12953.45398,13446.50177,61059.51715,42,7736.52381,65864.48053,948,420107,443.1508439
2192,4680,54935.61603,10000.67778,10386.81111,55124.38209,63,8701.492063,57516.38205,1930,756865,392.1580311
2193,6341,67760.93077,14621.37135,15172.76628,65501.17792,82,8120.353659,70732.00315,2875,1489763,518.1784348
2194,8388,50958.78946,8785.910218,9044.626371,50958.69496,90,8548.377778,52909.36826,2571,918600,357.2928821
2195,7650,48612.77333,7934.181699,8116.344444,50161.13337,87,8712.655172,50941.05739,2772,1262819,455.5624098
2196,10296,54669.29332,9975.474599,10296.72115,54575.79447,146,8955.69863,57336.31556,4416,1893018,428.6725543
