postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll,profitable
4405,37,3.05,0.68,2511.65,70,2581.65,67.88,1.89,69.77,61.4,2,0.27,37,0
4407,2,3,0.5,137,13,150,68.5,6.5,75,67,2,0.5,2,0
4408,3,4,1,145,0,145,48.33,0,48.33,58.67,2,0.33,3,0
4410,2,3,1,78,0,78,39,0,39,55.5,2,0,2,0
4413,20,3.45,0.65,1442.6,0,1442.6,72.13,0,72.13,60.92,2,0.2,20,0
4415,2,3.5,1,82,0,82,41,0,41,51.5,2,0,2,0
4417,4,3.5,1,297.05,20,317.05,74.26,5,79.26,65.5,2,0.25,4,1
4420,1,3,0,41,0,41,41,0,41,54,2,0,1,0
4421,3,2.33,0.33,594,0,594,198,0,198,60,2,0.67,3,1
4428,1,4,0,35,0,35,35,0,35,39,2,0,1,0
4454,1,3,1,105,0,105,105,0,105,49,2,1,1,1
4455,11,3.45,0.64,592.85,140,732.85,53.9,12.73,66.62,61.25,2,0.36,11,0
4465,3,3,1,260,0,260,86.67,0,86.67,67.33,2,0.33,3,1
4470,2,3,0.5,170,0,170,85,0,85,78,2,0.5,2,1
4472,7,3.43,0.86,465.2,0,465.2,66.46,0,66.46,61.17,2,0.29,7,0
4477,1,3,1,118,0,118,118,0,118,65,2,1,1,1
4480,2,2.5,1,186,0,186,93,0,93,,2,1,2,1
4487,11,3.18,0.82,685.95,0,685.95,62.36,0,62.36,53.86,2,0.27,11,0
4490,1,3,1,119,0,119,119,0,119,,2,1,1,1
4500,87,3.02,0.61,4197.35,156,4353.35,48.25,1.79,50.04,52.47,2,0.15,87,0
4501,11,2.91,0.73,596.4,0,596.4,54.22,0,54.22,51.5,2,0.18,11,0
4502,19,3.42,0.68,1075.55,25,1100.55,56.61,1.32,57.92,55.47,2,0.21,19,0
4503,67,3.13,0.72,3120.45,300,3420.45,46.57,4.48,51.05,53.68,2,0.16,67,0
4504,35,3.11,0.71,1891.95,130,2021.95,54.06,3.71,57.77,47.59,2,0.26,35,0
4505,46,2.98,0.76,2821.3,35,2856.3,61.33,0.76,62.09,58.14,2,0.24,46,0
4506,42,3.17,0.71,2863,67.5,2930.5,68.17,1.61,69.77,54,2,0.19,42,0
4507,88,2.99,0.65,5660.95,45,5705.95,64.33,0.51,64.84,68.04,2,0.35,88,0
4508,45,3.53,0.71,2131.35,40,2171.35,47.36,0.89,48.25,60.83,2,0.16,45,0
4509,33,2.76,0.64,1521,55.5,1576.5,46.09,1.68,47.77,47.65,2,0.21,33,0
4510,89,3.11,0.6,4875.8,195,5070.8,54.78,2.19,56.98,61.46,2,0.22,89,0
4511,31,2.87,0.94,1419.3,80,1499.3,45.78,2.58,48.36,65.05,2,0.23,31,0
4512,9,3,0.44,624,30,654,69.33,3.33,72.67,59.57,2,0.44,9,0
4514,10,3.2,0.9,679.35,10,689.35,67.94,1,68.94,57.2,2,0.4,10,0
4515,5,2.8,0.4,210,50,260,42,10,52,63,2,0.2,5,0
4516,8,3.13,0.63,337.95,35,372.95,42.24,4.38,46.62,58.83,2,0.25,8,0
4517,2,3.5,1,211.85,0,211.85,105.93,0,105.93,79,2,1,2,1
4518,16,3.19,0.56,1119.35,10,1129.35,69.96,0.63,70.58,64.36,2,0.38,16,0
4519,30,3.1,0.57,1822.5,20,1842.5,60.75,0.67,61.42,58.73,2,0.27,30,0
4520,41,3.24,0.73,2740.9,70,2810.9,66.85,1.71,68.56,59.21,2,0.32,41,0
4521,12,3.25,0.75,1234.25,10,1244.25,102.85,0.83,103.69,52,2,0.5,12,1
4550,11,3.18,0.91,458.45,50,508.45,41.68,4.55,46.22,54.88,2,0.18,11,0
4551,158,3.05,0.62,10667.75,345,11012.75,67.52,2.18,69.7,61.88,2,0.31,158,0
